AX:0.054931640625, AY:0.074951171875, AZ:0.954345703125, WX:6.8359375, WY:1.96075439453125, WZ:2.03704833984375, MX:18.017578125, MY:-19.482421875, MZ:-24.169921875
AX:0.029541015625, AY:0.07958984375, AZ:0.9677734375, WX:4.7149658203125, WY:3.2958984375, WZ:-0.8697509765625, MX:18.896484375, MY:-19.189453125, MZ:-23.583984375
AX:0.060546875, AY:0.075439453125, AZ:0.958740234375, WX:4.73785400390625, WY:2.2430419921875, WZ:-3.875732421875, MX:19.04296875, MY:-17.87109375, MZ:-24.31640625
AX:0.03564453125, AY:0.08154296875, AZ:0.955810546875, WX:5.56182861328125, WY:1.8310546875, WZ:-0.5950927734375, MX:18.45703125, MY:-17.87109375, MZ:-23.4375
AX:-0.005859375, AY:0.08447265625, AZ:0.971435546875, WX:6.35528564453125, WY:-2.25830078125, WZ:-5.0811767578125, MX:17.87109375, MY:-19.3359375, MZ:-24.0234375
AX:0.027099609375, AY:0.092041015625, AZ:0.959716796875, WX:4.4097900390625, WY:3.3721923828125, WZ:-1.21307373046875, MX:19.3359375, MY:-19.62890625, MZ:-22.55859375
AX:0.028564453125, AY:0.082275390625, AZ:0.9560546875, WX:4.638671875, WY:2.7618408203125, WZ:-1.1749267578125, MX:17.87109375, MY:-18.75, MZ:-23.73046875
AX:0.04931640625, AY:0.0771484375, AZ:0.93896484375, WX:5.584716796875, WY:6.12640380859375, WZ:-0.51116943359375, MX:18.896484375, MY:-17.724609375, MZ:-24.462890625
AX:0.041259765625, AY:0.07861328125, AZ:0.956787109375, WX:6.30950927734375, WY:6.04248046875, WZ:2.61688232421875, MX:18.310546875, MY:-18.603515625, MZ:-24.462890625
AX:0.024658203125, AY:0.084228515625, AZ:0.96533203125, WX:5.7373046875, WY:2.44903564453125, WZ:0.7171630859375, MX:18.603515625, MY:-19.189453125, MZ:-23.876953125
AX:0.02197265625, AY:0.079833984375, AZ:0.959228515625, WX:6.53839111328125, WY:2.532958984375, WZ:1.83868408203125, MX:19.189453125, MY:-17.724609375, MZ:-24.755859375
AX:0.02197265625, AY:0.088623046875, AZ:0.962646484375, WX:4.20379638671875, WY:1.18255615234375, WZ:-2.4261474609375, MX:18.45703125, MY:-17.87109375, MZ:-24.0234375
AX:0.02294921875, AY:0.084228515625, AZ:0.96337890625, WX:5.67626953125, WY:1.82342529296875, WZ:-1.16729736328125, MX:19.482421875, MY:-19.189453125, MZ:-23.291015625
AX:0.042724609375, AY:0.08349609375, AZ:0.95068359375, WX:5.18035888671875, WY:2.43377685546875, WZ:0.0152587890625, MX:20.068359375, MY:-18.896484375, MZ:-25.048828125
AX:0.04248046875, AY:0.0810546875, AZ:0.9384765625, WX:7.28607177734375, WY:4.44793701171875, WZ:0.37384033203125, MX:19.3359375, MY:-17.87109375, MZ:-24.609375
AX:0.015380859375, AY:0.08349609375, AZ:0.963623046875, WX:4.913330078125, WY:1.24359130859375, WZ:-1.708984375, MX:18.1640625, MY:-18.75, MZ:-24.31640625
AX:0.031005859375, AY:0.09228515625, AZ:0.9619140625, WX:5.57708740234375, WY:3.35693359375, WZ:-0.57220458984375, MX:18.896484375, MY:-18.310546875, MZ:-24.169921875
AX:0.04052734375, AY:0.081787109375, AZ:0.95751953125, WX:4.60052490234375, WY:1.80816650390625, WZ:-1.44195556640625, MX:19.775390625, MY:-19.189453125, MZ:-22.412109375
AX:0.02099609375, AY:0.0830078125, AZ:0.958740234375, WX:5.21087646484375, WY:3.6468505859375, WZ:-1.01470947265625, MX:17.87109375, MY:-19.04296875, MZ:-23.4375
AX:0.0419921875, AY:0.00439453125, AZ:0.972412109375, WX:6.96563720703125, WY:3.37982177734375, WZ:-0.02288818359375, MX:26.513671875, MY:-16.259765625, MZ:-22.412109375
AX:0.069580078125, AY:-0.012939453125, AZ:0.960693359375, WX:6.44683837890625, WY:3.74603271484375, WZ:0.2899169921875, MX:26.07421875, MY:-15.8203125, MZ:-20.21484375
AX:0.0478515625, AY:-0.003173828125, AZ:0.970947265625, WX:4.00543212890625, WY:-1.708984375, WZ:-4.45556640625, MX:25.927734375, MY:-16.552734375, MZ:-20.947265625
AX:0.03466796875, AY:-0.021484375, AZ:0.947509765625, WX:5.4931640625, WY:4.06646728515625, WZ:-1.2969970703125, MX:26.3671875, MY:-15.234375, MZ:-20.80078125
AX:0.055419921875, AY:0.00634765625, AZ:0.97216796875, WX:5.05828857421875, WY:3.02886962890625, WZ:-0.08392333984375, MX:28.564453125, MY:-15.673828125, MZ:-22.412109375
AX:0.0517578125, AY:0.0029296875, AZ:0.9599609375, WX:5.48553466796875, WY:-0.29754638671875, WZ:-1.068115234375, MX:27.392578125, MY:-15.673828125, MZ:-20.654296875
AX:0.0732421875, AY:-0.01220703125, AZ:0.94287109375, WX:5.02777099609375, WY:2.532958984375, WZ:-1.64031982421875, MX:27.5390625, MY:-16.11328125, MZ:-20.5078125
AX:0.043212890625, AY:0.01513671875, AZ:0.967041015625, WX:2.5177001953125, WY:-4.1961669921875, WZ:-5.14984130859375, MX:27.099609375, MY:-15.673828125, MZ:-20.654296875
AX:0.09716796875, AY:-0.02734375, AZ:0.9541015625, WX:6.38580322265625, WY:0.26702880859375, WZ:-1.16729736328125, MX:28.271484375, MY:-16.552734375, MZ:-20.361328125
AX:0.0, AY:-0.0078125, AZ:0.93017578125, WX:8.97979736328125, WY:9.10186767578125, WZ:-46.95892333984375, MX:30.46875, MY:-14.94140625, MZ:-23.4375
AX:0.005126953125, AY:0.028564453125, AZ:0.976806640625, WX:6.6680908203125, WY:0.81634521484375, WZ:0.72479248046875, MX:46.728515625, MY:-19.482421875, MZ:-23.583984375
AX:0.008056640625, AY:0.028564453125, AZ:0.962646484375, WX:3.85284423828125, WY:-3.41033935546875, WZ:0.12969970703125, MX:48.046875, MY:-21.09375, MZ:-22.55859375
AX:0.00244140625, AY:0.020751953125, AZ:0.959716796875, WX:5.56182861328125, WY:2.3345947265625, WZ:-0.70953369140625, MX:48.92578125, MY:-20.21484375, MZ:-21.97265625
AX:0.0546875, AY:0.007080078125, AZ:0.941650390625, WX:9.490966796875, WY:2.38037109375, WZ:32.99713134765625, MX:46.58203125, MY:-19.921875, MZ:-21.38671875
AX:0.039794921875, AY:0.01025390625, AZ:0.97509765625, WX:7.31658935546875, WY:2.89154052734375, WZ:0.1068115234375, MX:34.5703125, MY:-15.52734375, MZ:-20.80078125
AX:0.017333984375, AY:-0.010009765625, AZ:0.95947265625, WX:5.28717041015625, WY:3.41796875, WZ:0.2288818359375, MX:34.130859375, MY:-15.380859375, MZ:-20.947265625
AX:0.02490234375, AY:0.00244140625, AZ:0.970703125, WX:4.3182373046875, WY:1.56402587890625, WZ:-1.6326904296875, MX:36.62109375, MY:-14.6484375, MZ:-21.09375
AX:0.038330078125, AY:-0.0068359375, AZ:0.969482421875, WX:5.37872314453125, WY:1.86920166015625, WZ:-1.45721435546875, MX:34.86328125, MY:-13.76953125, MZ:-21.6796875
AX:0.06494140625, AY:-0.026611328125, AZ:0.95458984375, WX:-4.64630126953125, WY:3.9520263671875, WZ:2.838134765625, MX:35.7421875, MY:-14.94140625, MZ:-21.09375
AX:0.04248046875, AY:0.018310546875, AZ:0.981201171875, WX:4.150390625, WY:-3.99017333984375, WZ:9.62066650390625, MX:36.9140625, MY:-16.11328125, MZ:-20.5078125
AX:0.03515625, AY:0.01171875, AZ:0.9443359375, WX:6.7901611328125, WY:9.82666015625, WZ:-9.2315673828125, MX:40.283203125, MY:-15.966796875, MZ:-21.826171875
AX:-0.01123046875, AY:0.02685546875, AZ:0.955322265625, WX:6.072998046875, WY:-0.34332275390625, WZ:-3.73077392578125, MX:42.626953125, MY:-16.259765625, MZ:-21.533203125
AX:-0.009033203125, AY:0.046875, AZ:0.949462890625, WX:9.1400146484375, WY:7.598876953125, WZ:-4.38690185546875, MX:44.384765625, MY:-17.431640625, MZ:-22.998046875
AX:-0.025146484375, AY:0.061279296875, AZ:0.96826171875, WX:2.5177001953125, WY:-2.58636474609375, WZ:-2.3956298828125, MX:46.58203125, MY:-19.3359375, MZ:-20.5078125
AX:-0.034423828125, AY:0.053955078125, AZ:0.961181640625, WX:3.204345703125, WY:1.48773193359375, WZ:3.448486328125, MX:46.2890625, MY:-20.5078125, MZ:-21.6796875
AX:-0.031982421875, AY:0.056640625, AZ:0.958251953125, WX:5.14984130859375, WY:6.011962890625, WZ:-1.30462646484375, MX:47.16796875, MY:-19.62890625, MZ:-24.0234375
AX:-0.0654296875, AY:0.065673828125, AZ:0.95556640625, WX:2.9449462890625, WY:0.823974609375, WZ:-0.83160400390625, MX:47.4609375, MY:-21.38671875, MZ:-22.265625
AX:-0.076904296875, AY:0.071533203125, AZ:0.95947265625, WX:2.7618408203125, WY:-1.74713134765625, WZ:-2.01416015625, MX:49.951171875, MY:-22.412109375, MZ:-22.705078125
AX:-0.077392578125, AY:0.056640625, AZ:0.94775390625, WX:1.7242431640625, WY:2.4566650390625, WZ:-0.701904296875, MX:51.416015625, MY:-25.341796875, MZ:-21.533203125
AX:-0.04736328125, AY:0.03515625, AZ:0.971923828125, WX:5.91278076171875, WY:1.44195556640625, WZ:-5.56182861328125, MX:52.587890625, MY:-27.392578125, MZ:-22.119140625
AX:-0.034423828125, AY:0.0400390625, AZ:0.978515625, WX:7.0953369140625, WY:5.47027587890625, WZ:-11.54327392578125, MX:54.638671875, MY:-30.615234375, MZ:-23.291015625
AX:-0.0419921875, AY:0.0341796875, AZ:0.968505859375, WX:0.0152587890625, WY:-7.8582763671875, WZ:-6.38580322265625, MX:54.931640625, MY:-33.544921875, MZ:-22.119140625
AX:-0.017333984375, AY:0.037841796875, AZ:0.970458984375, WX:6.34002685546875, WY:3.1585693359375, WZ:-12.19940185546875, MX:55.95703125, MY:-36.328125, MZ:-21.38671875
AX:-0.029296875, AY:0.034423828125, AZ:0.958740234375, WX:5.18798828125, WY:-3.39508056640625, WZ:-1.007080078125, MX:55.95703125, MY:-39.84375, MZ:-21.6796875
AX:-0.028076171875, AY:0.039794921875, AZ:0.975830078125, WX:5.92803955078125, WY:-3.1890869140625, WZ:-1.708984375, MX:54.345703125, MY:-44.384765625, MZ:-21.240234375
AX:-0.036376953125, AY:0.037841796875, AZ:0.982421875, WX:5.43212890625, WY:4.913330078125, WZ:-3.79180908203125, MX:55.517578125, MY:-44.091796875, MZ:-21.240234375
AX:-0.128662109375, AY:0.072265625, AZ:0.966552734375, WX:7.32421875, WY:3.82232666015625, WZ:-1.18255615234375, MX:54.4921875, MY:-42.1875, MZ:-21.09375
AX:0.09716796875, AY:0.039306640625, AZ:0.961669921875, WX:1.85394287109375, WY:0.16021728515625, WZ:6.96563720703125, MX:53.02734375, MY:-29.8828125, MZ:-19.62890625
AX:0.057373046875, AY:0.048095703125, AZ:0.962158203125, WX:8.819580078125, WY:8.75091552734375, WZ:21.3775634765625, MX:42.333984375, MY:-18.017578125, MZ:-20.361328125
AX:0.03125, AY:0.1884765625, AZ:0.967529296875, WX:6.11114501953125, WY:2.0904541015625, WZ:-1.0223388671875, MX:23.4375, MY:-17.87109375, MZ:-24.609375
AX:0.01904296875, AY:0.19677734375, AZ:0.9501953125, WX:5.79071044921875, WY:2.0599365234375, WZ:-1.2054443359375, MX:25.78125, MY:-18.1640625, MZ:-25.78125
AX:0.007568359375, AY:0.18115234375, AZ:0.952880859375, WX:6.103515625, WY:1.953125, WZ:-0.2899169921875, MX:24.169921875, MY:-18.896484375, MZ:-25.634765625
AX:0.043701171875, AY:0.2099609375, AZ:0.93310546875, WX:3.08990478515625, WY:1.99127197265625, WZ:-0.69427490234375, MX:24.90234375, MY:-17.28515625, MZ:-24.0234375
AX:0.007568359375, AY:0.11279296875, AZ:0.99609375, WX:-11.5814208984375, WY:-33.6761474609375, WZ:-195.3277587890625, MX:50.244140625, MY:-27.685546875, MZ:-24.755859375
AX:-0.088134765625, AY:0.017578125, AZ:0.984130859375, WX:5.2337646484375, WY:7.02667236328125, WZ:-7.68280029296875, MX:52.001953125, MY:-35.302734375, MZ:-24.462890625
AX:-0.09619140625, AY:0.0439453125, AZ:0.958740234375, WX:6.53839111328125, WY:1.3427734375, WZ:2.5634765625, MX:52.44140625, MY:-37.5, MZ:-22.8515625
